,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,RELENTLESS;by Dean Koontz;New this week,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;6 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;12 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;124 weeks on the list,DIVINE SOUL SONGS;by Zhi Gang Sha;New this week,COOK YOURSELF THIN;by the staff of Lifetime Television;6 weeks on the list,HALO: UPRISING;by Brian Michael Bendis and Alex Maleev;New this week,WATCHMEN;by Alan Moore and Dave Gibbons;16 weeks on the list,"BLEACH, VOL. 27;by Tite Kubo;2 weeks on the list",THE AWAKENING;by Kelley Armstrong;7 weeks on the list,THE BOOK THIEF;by Markus Zusak;92 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;3 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;97 weeks on the list
2,THE PHYSICK BOOK OF DELIVERANCE DANE;by Katherine Howe;New this week,THE SHACK;by William P. Young;56 weeks on the list,,HORSE SOLDIERS;by Doug Stanton;5 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;2 weeks on the list,EXCUSES BEGONE!;by Wayne W. Dyer;3 weeks on the list,MARTHA STEWART'S CUPCAKES;by the editors of Martha Stewart Living;2 weeks on the list,"WORLD OF WARCRAFT - ASHBRINGER;by Micky Neilson, Ludo Lullabi and Tony Washington;New this week","BUFFY THE VAMPIRE SLAYER: SEASON 8, VOL. 4;by Joss Whedon, Jeph Loeb and Karl Moline;5 weeks on the list","WARRIROS: TIGERSTAR AND SASHA, VOL. 3;by Erin Hunter and Don Hudson;New this week",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;37 weeks on the list,LOCK AND KEY;by Sarah Dessen;5 weeks on the list,ELEPHANTS CANNOT DANCE!;written and illustrated by Mo Willems;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;101 weeks on the list
3,THE BOURNE DECEPTION;by Eric Van Lustbader;New this week,MY SISTER’S KEEPER;by Jodi Picoult;38 weeks on the list,,OUTLIERS;by Malcolm Gladwell;30 weeks on the list,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;New this week,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;20 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;38 weeks on the list,DARK TOWER: TREACHERY;by Peter David and Robin Furth;8 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;12 weeks on the list,ROSARIO   VAMPIRE 7;by Akihisa Ikeda;2 weeks on the list,TWILIGHT: DIRECTOR’S NOTEBOOK;by Catherine Hardwicke;13 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;43 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;22 weeks on the list
4,THE SCARECROW;by Michael Connelly;3 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;11 weeks on the list,,RENEGADE;by Richard Wolffe;2 weeks on the list,BLINK;by Malcolm Gladwell;87 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;62 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;415 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;16 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;New this week,"NARUTO, VOL. 43;by Masashi Kishimoto;13 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;40 weeks on the list,EVERMORE;by Alyson Noël;19 weeks on the list,EXPLORER EXTRAORDINAIRE!;by Jane O’Connor. Illustrated by Robin Preiss Glasser;7 weeks on the list,THE 39 CLUES;by various authors;11 weeks on the list
5,MEDUSA;by Clive Cussler and Paul Kemprecos;2 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;8 weeks on the list,,PRAIRIE TALE;by Melissa Gilbert;New this week,IN DEFENSE OF FOOD;by Michael Pollan;7 weeks on the list,MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;98 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;14 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;12 weeks on the list,"NARUTO, VOL. 44;by Masashi Kishimoto;11 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;34 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;21 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;83 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;42 weeks on the list
6,SKIN TRADE;by Laurell K. Hamilton;2 weeks on the list,VISION IN WHITE;by Nora Roberts;7 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;35 weeks on the list,LIBERAL FASCISM;by Jonah Goldberg;2 weeks on the list,THE SECRET;by Rhonda Byrne;127 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;9 weeks on the list,"STORM FRONT;by Ardian Syaf, Jim Butcher and Mark J. Powers;2 weeks on the list","COUNTDOWN;by Robert Orci, Alex Kurtzman, Tim Jones and Mike Johnson;9 weeks on the list","OURAN HIGH SCHOOLHOST CLUB, VOL. 12;by Bisco Hatori;2 weeks on the list",WINGS;by Aprilynne Pike;6 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;32 weeks on the list,LLAMA LLAMA MISSES MAMA;written and illustrated by Anna Dewdney;7 weeks on the list,GALLAGHER GIRLS;by Ally Carter;New this week
7,SHANGHAI GIRLS;by Lisa See;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;New this week,,THE LAST BEST HOPE;by Joe Scarborough;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;89 weeks on the list,THE G-FREE DIET;by Elisabeth Hasselbeck;6 weeks on the list,SKINNY BITCH;by Kim Barnouin;101 weeks on the list,MARVEL ZOMBIES;by Fred Van Lente and Kev Walker;8 weeks on the list,"ULTIMATES 3 -WHO KILLED THE SCARLET WITCH?;by Jeph Loeb, Joe Madureira and Christian Lichtner;2 weeks on the list","NARUTO, VOL. 42;by Masashi Kishimoto;12 weeks on the list",MILES TO GO;by Miley Cyrus;15 weeks on the list,TWEAK;by Nic Sheff;18 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;35 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;12 weeks on the list
8,ROADSIDE CROSSES;by Jeffery Deaver;New this week,THE ALCHEMIST;by Paulo Coelho;91 weeks on the list,,HOME GAME;by Michael Lewis;2 weeks on the list,AMERICAN LION;by Jon Meacham;6 weeks on the list,GOT FIGHT?;by Forrest Griffin with Erich Krauss;New this week,NATURALLY THIN;by Bethenny Frankel with Eve Adamson;14 weeks on the list,CIVIL WAR;by Mark Millar and Steve McNiven;8 weeks on the list,"FABLES, VOL. 1;by Bill Willingham and Lan Medina;6 weeks on the list","YU-GI-OH!, VOL. 3;by Kazuki Takahashi and Naoyuki Kageyama;2 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;New this week,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;12 weeks on the list,DUCK! RABBIT!;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;6 weeks on the list,NIGHT WORLD;by L. J. Smith;27 weeks on the list
9,GONE TOMORROW;by Lee Child;4 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;18 weeks on the list,,ALWAYS LOOKING UP;by Michael J. Fox;11 weeks on the list,TIPPING POINT;by Malcolm Gladwell;245 weeks on the list,THE NOTICER;by Andy Andrews;5 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;68 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;14 weeks on the list,TRANSFORMERS - REVENGE OF THE FALLEN;by Simon Furman and Jon Davis-Hunt;New this week,FULLMETAL ALCHEMIST 18;by Hiromu Arakawa;4 weeks on the list,BLOODHOUND;by Tamora Pierce;8 weeks on the list,UP;by Jasmine Jones;4 weeks on the list,LADYBUG GIRL AND BUMBLEBEE BOY;by David Soman and Jacky Davis. Illustrated by David Soman.;13 weeks on the list,WARRIORS;by Erin Hunter;74 weeks on the list
10,MATTERS OF THE HEART;by Danielle Steel;2 weeks on the list,A SUMMER AFFAIR;by Elin Hilderbrand;New this week,,THE GIRLS FROM AMES;by Jeffrey Zaslow;8 weeks on the list,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;2 weeks on the list,DOWN HOME WITH THE NEELYS;by Patrick Neely and Gina Neely with Paula Disbrowe;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;51 weeks on the list,"ANITA BLAKE - THE LAUGHING CORPSE BK 1 (ANIMATOR);by Laurell K. Hamilton, Ron Lim, Jess Ruffner-Booth and Ronald Lim;3 weeks on the list","THE SANDMAN: PRELUDES AND NOCTURNES;by Neil Gaiman, Sam Kieth, Mike Dringenberg and Malcolm Jones III;4 weeks on the list",ONE PIECE 21;by Eiichiro Oda;2 weeks on the list,SCAT;by Carl Hiaasen;15 weeks on the list,BEAUTIFUL DISASTER;by Kate Brian;2 weeks on the list,THE CURIOUS GARDEN;written and illustrated by Peter Brown;9 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;7 weeks on the list
