,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FIFTY SHADES OF GREY;by E. L. James;10 weeks on the list,DEADLOCKED;by Charlaine Harris;New this week,FIFTY SHADES OF GREY;by E. L. James;8 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,THE PASSAGE OF POWER;by Robert A. Caro;New this week,THE PASSAGE OF POWER;by Robert A. Caro;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;New this week,THE PASSAGE OF POWER;by Robert A. Caro;New this week,THE PIONEER WOMAN COOKS;by Ree Drummond;8 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;12 weeks on the list",THE PASSAGE OF POWER;by Robert A. Caro;,ARE YOU MY MOTHER?;by Alison Bechdel;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;43 weeks on the list","POKEMON BLACK AND WHITE, VOL. 7;by Hidenori Kusaka;New this week",INSURGENT;by Veronica Roth;New this week,DIVERGENT;by Veronica Roth;10 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;New this week,THE HUNGER GAMES;by Suzanne Collins;89 weeks on the list
2,FIFTY SHADES DARKER;by E. L. James;10 weeks on the list,THE WIND THROUGH THE KEYHOLE;by Stephen King;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;5 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,HARD MEASURES;by Jose A. Rodriguez Jr. with Bill Harlow;New this week,MY CROSS TO BEAR;by Gregg Allman;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;77 weeks on the list,HARD MEASURES;by Jose A. Rodriguez Jr. with Bill Harlow;New this week,THE BLOOD SUGAR SOLUTION;by Mark Hyman;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;249 weeks on the list,MY CROSS TO BEAR;by Gregg Allman;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;56 weeks on the list",FUN HOME;by Alison Bechdel;New this week,"BLACK BUTLER, VOL. 9;by Yana Toboso;2 weeks on the list",BITTERBLUE;by Kristin Cashore;New this week,OUT OF MY MIND;by Sharon M. Draper;New this week,THE DUCKLING GETS A COOKIE!?;by Mo Willems;5 weeks on the list,KANE CHRONICLES;by Rick Riordan;New this week
3,FIFTY SHADES FREED;by E. L. James;9 weeks on the list,THE INNOCENT;by David Baldacci;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;5 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,THE POWER OF HABIT;by Charles Duhigg;10 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;2 weeks on the list",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;61 weeks on the list,MANHUNT;by Peter L. Bergen;New this week,VEGAN COOKING FOR CARNIVORES;by Roberto Martin;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;560 weeks on the list,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;",JERUSALEM: CHRONICLES FROM THE HOLY CITY;by Guy Delisle;2 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 1;by Gene Luen Yang and others;8 weeks on the list","AI ORE: LOVE ME, VOL. 5;by Mayu Shinjo;New this week",THE INVADERS;by John Flanagan;New this week,MATCHED;by Ally Condie;33 weeks on the list,LADYBUG GIRL AND BINGO;by David Soman and Jacky Davis;New this week,BIG NATE;written and illustrated by Lincoln Peirce;57 weeks on the list
4,THE LAST BOYFRIEND;by Nora Roberts;New this week,CALICO JOE;by John Grisham;4 weeks on the list,THE LAST BOYFRIEND;by Nora Roberts;New this week,,,DEADLOCKED;by Charlaine Harris;,MANHUNT;by Peter L. Bergen;New this week,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;2 weeks on the list,BOSSYPANTS;by Tina Fey;18 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;10 weeks on the list,THE 17 DAY DIET;by Mike Moreno;54 weeks on the list,THE MAGIC;by Rhonda Byrne;9 weeks on the list,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;,"BATMAN INCORPORATED DELUXE, VOL. 1;by Grant Morrison and Yanick Paquette;3 weeks on the list",BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;New this week,"NEGIMA! MAGISTER NEGI MAGI, VOL. 34;by Ken Akamatsu;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;48 weeks on the list,THE BOOK THIEF;by Markus Zusak;243 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;173 weeks on the list
5,DEADLOCKED;by Charlaine Harris;New this week,THE WITNESS;by Nora Roberts;3 weeks on the list,THE LUCKY ONE;by Nicholas Sparks;23 weeks on the list,,,THE LAST BOYFRIEND;by Nora Roberts;,"LOTS OF CANDLES, PLENTY OF CAKE;by Anna Quindlen;2 weeks on the list",THE POWER OF HABIT;by Charles Duhigg;10 weeks on the list,THEN AGAIN;by Diane Keaton;New this week,_____ MY DAD SAYS;by Justin Halpern;22 weeks on the list,WEEKNIGHTS WITH GIADA;by Giada De Laurentiis;6 weeks on the list,THE HUNGER GAMES TRIBUTE GUIDE;by Emily Seife;13 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,CLEVELAND;by Harvey Pekar and Joseph Remnant;New this week,"SHOWCASE PRESENTS: THE SPECTRE, VOL. 1;by  Various;New this week","LOVE HINA, OMNIBUS VOL. 3;by Ken Akamatsu;New this week",THE FAULT IN OUR STARS;by John Green;17 weeks on the list,THE LOST HERO;by Rick Riordan;5 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;31 weeks on the list",THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;14 weeks on the list
6,THE INNOCENT;by David Baldacci;3 weeks on the list,ROBERT B. PARKER’S LULLABY;by Ace Atkins;New this week,ABRAHAM LINCOLN: VAMPIRE HUNTER;by Seth Grahame-Smith;10 weeks on the list,,,THE LUCKY ONE;by Nicholas Sparks;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;67 weeks on the list,DRIFT;by Rachel Maddow;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;48 weeks on the list,UNBROKEN;by Laura Hillenbrand;67 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;16 weeks on the list,WORD OF MOUTH MARKETING;by Andy Sernovitz;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"DEADPOOL, VOL. 10;by Daniel Way and Salvador Espin;2 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;117 weeks on the list","DURARARA!!, VOL. 2;by Ryohgo Narita;2 weeks on the list","NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;5 weeks on the list",THEODORE BOONE: THE ABDUCTION;by John Grisham;2 weeks on the list,PRESS HERE;by Hervé Tullet;46 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;54 weeks on the list
7,THE LUCKY ONE;by Nicholas Sparks;12 weeks on the list,GUILTY WIVES;by James Patterson and David Ellis;6 weeks on the list,THE ART OF FIELDING;by Chad Harbach;New this week,,,THE WIND THROUGH THE KEYHOLE;by Stephen King;,IN THE GARDEN OF BEASTS;by Erik Larson;36 weeks on the list,IMAGINE;by Jonah Lehrer;7 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;16 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;3 weeks on the list,TOTAL MEMORY MAKEOVER;by Marilu Henner;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;61 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,A GAME OF THRONES;by George R.R. Martin;5 weeks on the list,NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;9 weeks on the list,"TOKYO MEW MEW, OMNIBUS VOL. 3;by Reiko Yoshida and Mia Ikumi;New this week",THE SON OF NEPTUNE;by Rick Riordan;31 weeks on the list,BETWEEN SHADES OF GRAY;by Ruta Sepetys;5 weeks on the list,THE LORAX;by Dr. Seuss;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;248 weeks on the list
8,FIFTY SHADES TRILOGY;by E. L. James;3 weeks on the list,THE LOST YEARS;by Mary Higgins Clark;5 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;11 weeks on the list,,,THE INNOCENT;by David Baldacci;,MY CROSS TO BEAR;by Gregg Allman;New this week,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;3 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;New this week,STEVE JOBS;by Walter Isaacson;28 weeks on the list,LET IT GO;by T. D. Jakes;7 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;76 weeks on the list,DRIFT;by Rachel Maddow;,"THE NEW TEEN TITANS OMNIBUS, VOL. 2;by Marv Wolfman and George Perez;2 weeks on the list",SMILE;by Raina Telgemeier;17 weeks on the list,"HIGHSCHOOL OF THE DEAD, VOL. 6;by Daisuke Sato;2 weeks on the list",CHOMP;by Carl Hiaasen;6 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;45 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;15 weeks on the list,THE MAZE RUNNER;by James Dashner;21 weeks on the list
9,THE WITNESS;by Nora Roberts;3 weeks on the list,UNNATURAL ACTS;by Stuart Woods;3 weeks on the list,THE HELP;by Kathryn Stockett;57 weeks on the list,,,CALICO JOE;by John Grisham;,UNBROKEN;by Laura Hillenbrand;67 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;32 weeks on the list,BORN TO RUN;by Christopher McDougall;58 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;67 weeks on the list,MARTHA STEWART'S AMERICAN FOOD;by Martha Stewart;2 weeks on the list,I BRAKE FOR YARD SALES;by Lara Spencer;2 weeks on the list,IMAGINE;by Jonah Lehrer;,"WOLVERINE AND THE X-MEN, VOL. 1;by Jason Aaron and Chris Bachalo;New this week",AVENGERS VS. X-MEN: IT'S COMING;by various;2 weeks on the list,"FLUFFY, FLUFFY CINNAMOROLL, VOL. 3;by Yumi Tsukirino;New this week",WONDER;by R.J. Palacio;7 weeks on the list,TURTLE IN PARADISE;by Jennifer L. Holm;New this week,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;11 weeks on the list,TRYLLE TRILOGY;by Amanda Hocking;2 weeks on the list
10,CALICO JOE;by John Grisham;4 weeks on the list,THE SHOEMAKER’S WIFE;by Adriana Trigiani;5 weeks on the list,ZERO DAY;by David Baldacci;6 weeks on the list,,,BURIED PREY;by John Sandford;,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;3 weeks on the list,MANHUNT;by Peter L. Bergen;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;215 weeks on the list,LIFEBOAT NO. 8;by Elizabeth Kaye;4 weeks on the list,SPIRITUAL SOLUTIONS;by Deepak Chopra;New this week,EAT TO LIVE;by Joel Fuhrman;43 weeks on the list,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;,"THE WALKING DEAD, BOOK 3;by Robert Kirkman and Charlie Adlard;12 weeks on the list",CINDERELLA: FABLES ARE FOREVER;by Chris Roberson and Bill Willingham;2 weeks on the list,"ONE PIECE, VOL. 62;by Eiichiro Oda;New this week",THE INVENTION OF HUGO CABRET;by Brian Selznick;112 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;128 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;22 weeks on the list,MONSTER HIGH;by Lisi Harrison;2 weeks on the list
