,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,Y IS FOR YESTERDAY;by Sue Grafton;New this week,Y IS FOR YESTERDAY;by Sue Grafton;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;20 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;53 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;17 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;388 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;37 weeks on the list,WONDER;by R.J. Palacio;107 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;17 weeks on the list,HARRY POTTER;by J.K. Rowling;440 weeks on the list,THE HATE U GIVE;by Angie Thomas;26 weeks on the list,GRIT;by Angela Duckworth;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,WHAT MADE MADDY RUN;by Kate Fagan;
2,SEEING RED;by Sandra Brown;2 weeks on the list,THE STORE;by James Patterson and Richard DiLallo;2 weeks on the list,MILK AND HONEY;by Rupi Kaur;72 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;57 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;57 weeks on the list,JUST MERCY;by Bryan Stevenson;75 weeks on the list,MAKE YOUR BED;by William H. McRaven;21 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;6 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;13 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;441 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;10 weeks on the list,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,THE STORE;by James Patterson and Richard DiLallo;2 weeks on the list,SEEING RED;by Sandra Brown;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;29 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;17 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;13 weeks on the list",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;205 weeks on the list,YOU ARE A BADASS;by Jen Sincero;85 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;9 weeks on the list,THE MERMAID;by Jan Brett;New this week,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;23 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;14 weeks on the list,RED NOTICE;by Bill Browder;,END OF ALZHEIMER'S;by Dale Bredesen;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,THE WHISTLER;by John Grisham;23 weeks on the list,CAMINO ISLAND;by John Grisham;12 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;26 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;13 weeks on the list",WHY BUDDHISM IS TRUE;by Robert Wright;3 weeks on the list,ON TYRANNY;by Timothy Snyder;26 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;215 weeks on the list,THE DARK PROPHECY;by Rick Riordan;17 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;184 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;443 weeks on the list,MILES MORALES: SPIDER-MAN;by Jason Reynolds;4 weeks on the list,EMIGRANT EDGE;by Brian Buffini;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BARBARIAN DAYS;by William Finnegan;
5,BEFORE WE WERE YOURS;by Lisa Wingate;4 weeks on the list,THE LATE SHOW;by Michael Connelly;6 weeks on the list,IT;by Stephen King;2 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;3 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;18 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;152 weeks on the list,END OF ALZHEIMER'S;by Dale Bredesen;New this week,DOG MAN UNLEASHED;by Dav Pilkey;35 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;34 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;40 weeks on the list,ONCE AND FOR ALL;by Sarah Dessen;12 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
6,YOU SAY IT FIRST;by Susan Mallery;New this week,ANY DREAM WILL DO;by Debbie Macomber;3 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;13 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;19 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;77 weeks on the list,OUTLIERS;by Malcolm Gladwell;240 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;98 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;11 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;100 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;81 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;55 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,THE WOMAN IN CABIN 10;by Ruth Ware;31 weeks on the list,THE LYING GAME;by Ruth Ware;5 weeks on the list,READY PLAYER ONE;by Ernest Cline;28 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;13 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;6 weeks on the list,DUNKIRK;by Joshua Levine;8 weeks on the list,OF MESS AND MOXIE;by Jen Hatmaker;3 weeks on the list,DOG MAN;by Dav Pilkey;52 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;217 weeks on the list,DESCENDANTS;by Melissa de la Cruz;14 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;14 weeks on the list,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,PLAYING HURT;by John Saunders with John U. Bacon;
8,THE DUCHESS DEAL;by Tessa Dare;New this week,A GENTLEMAN IN MOSCOW;by Amor Towles;40 weeks on the list,THE ALCHEMIST;by Paulo Coelho;426 weeks on the list,HELGA'S DIARY;by Helga Weiss;New this week,KILLERS OF THE FLOWER MOON;by David Grann;19 weeks on the list,EVICTED;by Matthew Desmond;10 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;141 weeks on the list,GIRLS WHO CODE;by Reshma Saujani;New this week,WE'RE ALL WONDERS;by R.J. Palacio;11 weeks on the list,GIVER QUARTET;by Lois Lowry;149 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;62 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,THE POWER OF HABIT;by Charles Duhigg;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
9,THE LATE SHOW;by Michael Connelly;6 weeks on the list,SULFUR SPRINGS;by William Kent Krueger;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;21 weeks on the list,DEVIL'S BARGAIN;by Joshua Green;6 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;33 weeks on the list,THE GIRL WITH THE LOWER BACK TATTOO;by Amy Schumer;3 weeks on the list,PRESENT OVER PERFECT;by Shauna Niequist;8 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;12 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;111 weeks on the list",DORK DIARIES;by Rachel Renée Russell;221 weeks on the list,ALEX AND ELIZA;by Melissa de la Cruz;19 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,QUIET;by Susan Cain;,PAPI;by David Ortiz with Michael Holley;
10,CAMINO ISLAND;by John Grisham;12 weeks on the list,EXPOSED;by Lisa Scottoline;2 weeks on the list,TWO BY TWO;by Nicholas Sparks;4 weeks on the list,THE BIG LIE;by Dinesh D'Souza;4 weeks on the list,THE BIG LIE;by Dinesh D'Souza;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;136 weeks on the list",THE PLANT PARADOX;by Steven R. Gundry;11 weeks on the list,GIRLS WHO CODE: THE FRIENDSHIP CODE;by Stacia Deutsch;New this week,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;New this week,WHAT WAS . . . ?;by various authors;2 weeks on the list,THE LAST MAGICIAN;by Lisa Maxwell;6 weeks on the list,LIFE 3.0;by Max Tegmark;,ON TRAILS;by Robert Moor;,SHAKEN;by Tim Tebow;
