,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FEARLESS FOURTEEN;by Janet Evanovich;New this week,THE SHACK;by William P. Young;5 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;3 weeks on the list,BIG RUSS AND ME;by Tim Russert;9 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;11 weeks on the list,A NEW EARTH;by Eckhart Tolle;21 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;23 weeks on the list,ALICIA;by Lisi Harrison.;3 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;32 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;46 weeks on the list
2,SAIL;by James Patterson and Howard Roughan;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;42 weeks on the list,,WHAT HAPPENED;by Scott McClellan;4 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;73 weeks on the list,THE SECRET;by Rhonda Byrne;76 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;36 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;62 weeks on the list,DYLAN;by Lisi Harrison;7 weeks on the list,ALPHABET;by Matthew Van Fleet;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;60 weeks on the list
3,THE HOST;by Stephenie Meyer;7 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;42 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;2 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;6 weeks on the list,QUANTUM WELLNESS;by Kathy Freston;5 weeks on the list,SKINNY BITCH;by Kim Barnouin;50 weeks on the list,LOCK AND KEY;by Sarah Dessen;9 weeks on the list,THE BOOK THIEF;by Markus Zusak;41 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;9 weeks on the list,PENDRAGON;by D. J. MacHale;64 weeks on the list
4,CHASING HARRY WINSTON;by Lauren Weisberger;4 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;20 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;9 weeks on the list",THE AUDACITY OF HOPE;by Barack Obama;26 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;7 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;366 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;4 weeks on the list,TEMPTED;by Cecily von Ziegesar;3 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;14 weeks on the list,JUNIE B. JONES;by Barbara Park;176 weeks on the list
5,LOVE THE ONE YOU'RE WITH;by Emily Giffin;6 weeks on the list,BAREFOOT;by Elin Hilderbrand;2 weeks on the list,,BIG RUSS AND ME;by Tim Russert;13 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;74 weeks on the list",THE 4-HOUR WORKWEEK;by Timothy Ferriss;30 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;26 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;64 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;22 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;11 weeks on the list,HARRY POTTER;by J.K. Rowling;188 weeks on the list
6,NOTHING TO LOSE;by Lee Child;3 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;25 weeks on the list,,AUDITION;by Barbara Walters;7 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;101 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;52 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;31 weeks on the list,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;by James Luceno;5 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;2 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;20 weeks on the list
7,PLAGUE SHIP;by Clive Cussler with Jack Du Brul;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;41 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;8 weeks on the list,MARLEY AND ME;by John Grogan;15 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;10 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;7 weeks on the list",THE PENDERWICKS ON GARDAM STREET;by Jeanne Birdsall;9 weeks on the list,CAMP ROCK;by Lucy Ruggles;4 weeks on the list,"HELP ME, MR. MUTT!;by Janet Stevens Stevens and Susan Stevens Crummel. Illustrated by Janet Stevens;3 weeks on the list",MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;186 weeks on the list
8,THE BROKEN WINDOW;by Jeffery Deaver;2 weeks on the list,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;42 weeks on the list,,WISDOM OF OUR FATHERS;by Tim Russert;10 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;87 weeks on the list,WHEN MARKETS COLLIDE;by Mohamed A. El-Erian;New this week,HUNGRY GIRL;by Lisa Lillien;8 weeks on the list,LITTLE BROTHER;by Cory Doctorow;6 weeks on the list,MASSIE;by Lisi Harrison;12 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;23 weeks on the list,THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;127 weeks on the list
9,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;2 weeks on the list,MY SISTER’S KEEPER;by Jodi Picoult;20 weeks on the list,,ME OF LITTLE FAITH;by Lewis Black;3 weeks on the list,THE INNOCENT MAN;by John Grisham;31 weeks on the list,SEX AND THE CITY;by Amy Sohn;3 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;10 weeks on the list,NICK OF TIME;by Ted Bell;6 weeks on the list,BRATFEST AT TIFFANY’S;by Lisi Harrison;20 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;22 weeks on the list",RANGER’S APPRENTICE;by John Flanagan;24 weeks on the list
10,NO CHOICE BUT SEDUCTION;by Johanna Lindsey;New this week,IN THE WOODS;by Tana French;4 weeks on the list,,THE DOWNHILL LIE;by Carl Hiaasen;7 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;8 weeks on the list",LETTERS TO A YOUNG SISTER;by Hill Harper;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;24 weeks on the list,THE LUXE;by Anna Godbersen;13 weeks on the list,WALL-E;by Irene Trimble;3 weeks on the list,THE DANGEROUS ALPHABET;by Neil Gaiman. Illustrated by Gris Grimly;New this week,BEST AT EVERYTHING;by various authors and illustrators;5 weeks on the list
