,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,ODD HOURS;by Dean R. Koontz;New this week,THE SHACK;by William P. Young;New this week,,AUDITION;by Barbara Walters;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;69 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;7 weeks on the list,A NEW EARTH;by Eckhart Tolle;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;58 weeks on the list,DYLAN;by Lisi Harrison;3 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;42 weeks on the list
2,THE HOST;by Stephenie Meyer;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;38 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;5 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;70 weeks on the list",QUANTUM WELLNESS;by Kathy Freston;New this week,THE POWER OF NOW;by Eckhart Tolle;New this week,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;19 weeks on the list,MASSIE;by Lisi Harrison;8 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;28 weeks on the list,PENDRAGON;by D. J. MacHale;60 weeks on the list
3,LOVE THE ONE YOU'RE WITH;by Emily Giffin;2 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;21 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;4 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;22 weeks on the list,THE SECRET;by Rhonda Byrne;72 weeks on the list,SKINNY BITCH;by Kim Barnouin;New this week,LOCK AND KEY;by Sarah Dessen;5 weeks on the list,JUST LISTEN;by Sarah Dessen;13 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;56 weeks on the list
4,THE FRONT;by Patricia Cornwell;New this week,NINETEEN MINUTES;by Jodi Picoult;16 weeks on the list,,STOLEN INNOCENCE;by Elissa Wall with Lisa Pulitzer;2 weeks on the list,MARLEY AND ME;by John Grogan;11 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;6 weeks on the list,HUNGRY GIRL;by Lisa Lillien;New this week,NICK OF TIME;by Ted Bell;2 weeks on the list,THE CARLYLES;by Cecily Von Ziegesar;New this week,ALPHABET;by Matthew Van Fleet;7 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;16 weeks on the list
5,SNUFF;by Chuck Palahniuk;New this week,THE KITE RUNNER;by Khaled Hosseini;38 weeks on the list,,THE REVOLUTION;by Ron Paul;5 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;4 weeks on the list,GHOSTS AMONG US;by James Van Praagh;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;New this week,TWEAK;by Nic Sheff;13 weeks on the list,THE BOOK THIEF;by Markus Zusak;37 weeks on the list,BROADWAY BARKS;by Bernadette Peters. Illustrated by Liz Murphy;New this week,SEPTIMUS HEAP;by Angie Sage;19 weeks on the list
6,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;37 weeks on the list,,THE DOWNHILL LIE;by Carl Hiaasen;3 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;97 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;New this week,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;28 weeks on the list,IMPULSE;by Ellen Hopkins;New this week,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;29 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;22 weeks on the list
7,PHANTOM PREY;by John Sandford;3 weeks on the list,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;38 weeks on the list,,A WOLF AT THE TABLE;by Augusten Burroughs;4 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;83 weeks on the list,YOU - THE OWNER'S MANUAL;by Michael F. Roizen and Mehmet C. Oz with Lisa Oz and Ted Spiker;43 weeks on the list,GETTING THINGS DONE;by David Allen;New this week,THIRTEEN REASONS WHY;by Jay Asher;5 weeks on the list,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;by James Luceno;New this week,ZEN TIES;written and illustrated by Jon J. Muth;19 weeks on the list,WARRIORS: POWER OF THREE;by Erin Hunter;5 weeks on the list
8,SWINE NOT?;by Jimmy Buffett;2 weeks on the list,THE YIDDISH POLICEMEN’S UNION;by Michael Chabon;4 weeks on the list,,A TIME TO FIGHT;by Jim Webb;New this week,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;4 weeks on the list",THE 4-HOUR WORKWEEK;by Timothy Ferriss;26 weeks on the list,SKINNY BITCH IN THE KITCH;by Rory Freedman;New this week,THE INVENTION OF HUGO CABRET;by Brian Selznick;60 weeks on the list,THE CHRONICLES OF NARNIA: PRINCE CASPIAN;by C. S. Lewis;5 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;18 weeks on the list",FABLEHAVEN;by Brandon Mull;4 weeks on the list
9,CARELESS IN RED;by Elizabeth George;3 weeks on the list,RANT;by Chuck Palahniuk;3 weeks on the list,,COUNSELOR;by Ted Sorensen;2 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;39 weeks on the list,MEDICAL MYTHS THAT CAN KILL YOU;by Nancy L. Snyderman;New this week,THE PURPOSE-DRIVEN LIFE;by Rick Warren;New this week,LITTLE BROTHER;by Cory Doctorow;3 weeks on the list,BRATFEST AT TIFFANY’S;by Lisi Harrison;16 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;10 weeks on the list,MAXIMUM RIDE;by James Patterson;40 weeks on the list
10,THE WHOLE TRUTH;by David Baldacci;5 weeks on the list,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;3 weeks on the list,,ESCAPE;by Carolyn Jessop;9 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;34 weeks on the list,DEBT CURES “THEY” DON’T WANT YOU TO KNOW ABOUT;by Kevin Trudeau;3 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;New this week,INK EXCHANGE;by Melissa Marr;4 weeks on the list,AMBITION;by Kate Brian;3 weeks on the list,"HELP ME, MR. MUTT!;by Janet Stevens Stevens and Susan Stevens Crummel. Illustrated by Janet Stevens;New this week",MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;182 weeks on the list
